source,target
1601315,1602266
1601315,1601103
1601315,1601103
1601326,1608303
1601337,1603493
1601337,1604748
1601337,1603493
1601340,1607651
1601340,1611932
1601340,1640868
1601340,1607651
1601344,1608329
1601344,1605864
1601345,1605640
1601345,1664351
1601345,1625804
1601345,1605301
1601345,1604748
1601345,1604680
1601345,1602152
1601345,1603605
1601345,1607472
1601345,1600952
1601345,1606835
1601345,1602597
1601345,1646374
1601345,1663746
1601345,1604228
1601345,1605640
1601346,1602892
1601346,1603810
1601346,1602264
1601346,1607291
1601346,1603810
1601346,1602264
1601346,1607291
1601347,1605864
1601347,1601308
1601349,1606395
1601349,1607837
1601349,1606047
1601349,1604566
1601349,1604862
1601349,1608112
1601349,1604748
1601349,1606148
1601349,1606047
1601350,1602729
1601357,1604175
1601357,1604043
1601357,1605833
1601381,1605864
1601381,1602577
1601388,1602264
1601388,1622415
1601388,1616848
1601388,1602264
1601388,1602892
1601388,1606877
1601391,1606716
1601391,1667120
1601391,1607824
1601391,1607458
1601391,1601103
1601391,1622415
1601391,1601103
1601393,1602977
1601393,1602264
1601393,1603810
1601393,1602977
1601393,1602264
1601393,1603810
1601395,1605864
1601396,1612915
1601396,1604999
1601396,1601832
1601396,1603185
1601396,1601103
1601396,1601103
1601398,1605864
1601398,1601604
1601398,1601604
1601398,1603498
1601398,1605787
1601405,1644341
1601405,1606892
1601405,1602266
1601405,1601710
1601405,1665173
1601405,1601710
1601419,1681580
1601419,1648316
1601419,1680579
1601419,1660852
1601419,1681580
1601419,1673744
1601419,1604264
1601442,1602597
1601442,1601345
1601442,1604228
1601442,1639578
1601442,1606835
1601442,1600952
1601442,1607472
1601442,1602152
1601442,1603167
1601442,1604748
1601442,1664351
1601442,1601345
1601469,1605864
1601469,1601308
1601469,1607516
1601470,1605316
1601470,1604999
1601470,1607803
1601470,1603412
1601470,1602266
1601470,1605316
1601477,1612915
1601477,1606515
1601477,1603412
1601477,1602266
1601477,1604247
1601477,1678683
1601477,1604247
1601495,1604615
1601495,1605864
1601495,1603608
1601495,1604615
1601495,1601991
1601505,1607569
1601505,1601941
1601505,1604566
1601505,1605640
1601505,1606395
1601505,1606148
1601505,1601941
1601512,1604696
1601512,1604696
1601522,1601523
1601522,1625536
1601523,1665014
1601523,1663411
1601523,1676126
1601523,1626090
1601523,1672261
1601523,1620500
1601523,1659841
1601523,1632403
1601523,1632949
1601523,1665966
1601523,1667431
1601523,1634525
1601523,1665422
1601523,1640370
1601523,1649871
1601523,1638645
1601523,1633161
1601523,1631633
1601523,1681580
1601523,1643957
1601523,1639935
1601523,1646452
1601523,1656836
1601523,1646516
1601523,1629006
1601523,1649303
1601523,1655589
1601523,1631761
1601523,1635119
1601523,1658916
1601523,1676605
1601523,1674136
1601523,1631267
1601523,1664728
1601523,1666776
1601523,1616473
1601523,1618272
1601523,1662286
1601523,1658014
1601523,1658309
1601523,1674683
1601524,1605864
1601524,1606150
1601525,1601523
1601525,1625536
1601527,1633186
1601527,1633186
1601528,1603400
1601528,1605864
1601529,1600939
1601529,1606271
1601529,1605400
1601530,1625536
1601530,1652630
1601531,1604678
1601531,1603532
1601531,1604175
1601531,1605833
1601531,1674688
1601531,1622914
1601531,1677526
1601531,1630850
1601531,1666145
1601531,1649728
1601531,1643358
1601531,1622415
1601531,1634413
1601531,1602274
1601531,1602274
1601535,1604255
1601535,1604028
1601535,1602075
1601535,1604999
1601535,1602266
1601535,1601103
1601535,1601103
1601542,1603532
1601542,1606886
1601545,1604936
1601545,1605864
1601546,1605864
1601546,1606150
1601548,1603813
1601548,1667264
1601548,1606148
1601548,1602832
1601548,1607585
1601548,1606882
1601548,1604870
1601548,1604566
1601548,1600952
1601548,1606835
1601548,1603493
1601548,1642340
1601548,1646821
1601548,1673744
1601548,1603813
1601548,1603221
1601559,1603228
1601559,1605943
1601559,1606883
1601559,1612915
1601559,1612366
1601559,1602266
1601559,1601103
1601559,1606271
1601559,1605400
1601559,1601103
1601561,1604023
1601561,1603412
1601561,1602266
1601561,1601103
1601561,1608036
1601561,1605400
1601561,1601103
1601589,1608407
1601589,1608409
1601589,1602280
1601589,1602266
1601589,1601103
1601589,1605417
1601589,1601103
1601601,1605246
1601601,1604999
1601601,1602718
1601601,1606212
1601601,1602266
1601601,1604247
1601601,1604746
1601601,1604247
1601603,1602270
1601603,1602270
1601603,1612807
1601603,1612252
1601603,1612481
1601603,1612715
1601603,1611622
1601603,1613761
1601603,1642340
1601603,1673734
1601603,1658051
1601603,1649728
1601603,1605718
1601603,1605864
1601603,1632418
1601603,1657656
1601604,1601398
1601618,1601103
1601618,1606280
1601618,1605864
1601618,1605698
1601618,1607462
1601618,1601103
1601618,1602266
1601618,1612915
1601618,1602212
1601618,1602338
1601618,1602703
1601618,1602212
1601618,1602338
1601618,1602703
1601644,1605041
1601644,1605864
1601644,1605041
1601658,1605864
1601658,1605698
1601658,1603093
1601666,1607495
1601666,1605493
1601666,1604668
1601666,1605487
1601666,1601347
1601666,1601308
1601666,1602418
1601666,1602266
1601666,1601103
1601666,1601103
1601667,1604740
1601667,1606282
1601667,1612915
1601667,1602266
1601667,1601103
1601667,1601103
1601668,1605316
1601668,1604999
1601668,1612915
1601668,1606355
1601668,1602266
1601668,1605316
1601671,1604999
1601671,1604245
1601671,1602028
1601671,1602266
1601671,1601103
1601671,1601103
1601675,1633265
1601675,1633265
1601675,1604748
1601675,1604659
1601675,1601943
1601675,1602586
1601675,1665856
1601676,1622415
1601676,1601527
1601676,1667120
1601679,1604999
1601679,1602580
1601679,1602266
1601679,1601103
1601679,1601103
1601680,1601301
1601680,1606882
1601680,1605301
1601680,1667264
1601691,1603167
1601691,1605940
1601691,1678683
1601691,1601193
1601691,1622914
1601691,1665856
1601691,1603167
1601691,1605940
1601691,1605104
1601691,1602152
1601691,1603605
1601691,1607888
1601691,1604760
1601692,1678683
1601692,1667264
1601692,1606724
1601692,1605759
1601692,1604021
1601692,1608417
1601692,1604665
1601702,1601291
1601703,1602330
1601703,1605864
1601705,1604242
1601707,1608239
1601707,1603412
1601707,1602266
1601707,1601103
1601707,1608036
1601707,1605400
1601707,1601103
1601709,1601278
1601709,1602984
1601709,1604289
1601710,1607581
1601710,1665173
1601710,1678683
1601710,1670188
1601710,1644341
1601710,1605400
1601710,1606271
1601710,1604746
1601710,1670437
1601710,1665856
1601710,1611619
1601710,1612788
1601710,1612383
1601710,1607581
1601720,1602215
1601720,1602343
1601720,1607088
1601720,1604999
1601720,1602266
1601720,1601103
1601720,1601103
1601737,1606498
1601740,1606919
1601740,1604242
1601740,1605112
1601740,1603172
1601740,1612915
1601740,1602266
1601740,1601103
1601740,1601103
1601741,1648160
1601741,1606148
1601741,1605417
1601741,1604566
1601741,1604688
1601741,1605736
1601741,1606079
1601741,1604244
1601741,1608417
1601741,1604213
1601755,1603088
1601755,1606493
1601755,1602266
1601755,1601103
1601755,1601103
1601768,1602329
1601768,1607065
1601768,1602266
1601768,1601103
1601768,1601103
1601770,1605830
1601770,1602266
1601770,1601103
1601770,1601103
1601771,1608355
1601771,1608355
1601772,1601230
1601772,1608309
1601772,1605093
1601772,1605497
1601772,1603224
1601772,1602705
1601772,1611621
1601772,1602266
1601772,1604247
1601772,1607462
1601772,1602832
1601772,1678683
1601772,1604247
1601774,1606148
1601774,1602033
1601774,1604566
1601774,1642340
1601776,1602945
1601776,1602987
1601776,1665856
1601776,1607462
1601776,1604566
1601776,1601193
1601776,1602987
1601785,1605864
1601785,1639220
1601785,1601178
1601786,1612915
1601786,1601103
1601786,1601103
1601788,1607187
1601788,1604225
1601788,1602601
1601788,1661906
1601788,1649368
1601790,1605864
1601790,1601702
1601790,1601291
1601790,1601702
1601791,1606220
1601791,1602521
1601791,1602521
1601792,1608051
1601793,1601145
1601793,1602151
1601793,1675413
1601793,1621261
1601793,1605864
1601808,1612125
1601825,1601103
1601825,1642875
1601825,1660712
1601825,1605301
1601825,1604746
1601825,1602214
1601825,1607462
1601825,1601103
1601825,1602266
1601825,1608175
1601825,1601187
1601825,1603093
1601825,1602580
1601825,1606719
1601825,1608115
1601825,1608369
1601825,1606218
1601825,1604265
1601825,1605719
1601825,1608297
1601825,1606493
1601825,1603088
1601825,1602243
1601825,1604999
1601825,1612790
1601825,1612915
1601826,1612915
1601826,1604999
1601826,1602271
1601826,1601395
1601826,1602266
1601826,1601103
1601826,1607462
1601826,1601103
1601828,1603813
1601828,1606148
1601828,1604566
1601828,1600952
1601828,1606835
1601828,1603813
1601829,1605864
1601829,1602729
1601830,1605864
1601830,1602130
1601830,1601099
1601831,1602588
1601831,1602015
1601831,1605316
1601831,1602588
1601831,1602015
1601831,1604999
1601831,1612125
1601831,1612915
1601831,1602266
1601831,1605864
1601831,1605316
1601832,1605864
1601832,1602729
1601832,1601829
1601835,1608193
1601835,1608193
1601852,1601193
1601852,1604866
1601852,1665824
1601852,1665856
1601891,1602597
1601891,1678683
1601891,1604748
1601891,1606414
1601891,1606395
1601891,1607472
1601891,1607032
1601891,1600952
1601891,1606835
1601891,1602597
1601891,1604228
1601907,1605864
1601915,1605864
1601916,1605864
1601917,1601771
1601917,1604564
1601917,1601771
1601917,1604564
1601917,1602892
1601917,1601393
1601918,1605864
1601918,1661084
1601918,1601993
1601918,1601046
1601939,1603412
1601939,1605864
1601940,1602597
1601940,1601345
1601940,1604228
1601940,1639578
1601940,1606835
1601940,1600952
1601940,1607472
1601940,1606395
1601940,1604748
1601940,1664351
1601940,1601345
1601941,1608112
1601941,1625804
1601941,1606148
1601941,1602832
1601941,1607569
1601941,1605640
1601941,1604566
1601941,1625536
1601941,1652297
1601941,1608112
1601943,1605245
1601944,1605864
1601944,1602594
1601944,1600977
1601945,1602070
1601945,1605864
1601945,1602070
1601946,1612440
1601946,1611995
1601946,1612915
1601946,1601395
1601946,1602266
1601946,1601103
1601946,1632418
1601946,1601103
1601954,1605864
1601955,1603864
1601956,1605864
1601956,1603160
1601956,1602598
1601956,1600958
1601957,1602205
1601957,1608190
1601957,1602269
1601957,1612915
1601957,1604999
1601957,1602266
1601957,1601103
1601957,1601103
1601958,1603085
1601958,1607187
1601958,1604225
1601958,1602601
1601958,1661906
1601958,1649368
1601960,1605316
1601960,1604999
1601960,1606150
1601960,1601524
1601960,1601546
1601960,1602266
1601960,1605316
1601961,1601308
1601961,1602720
1601961,1605864
1601990,1603089
1601990,1602655
1601990,1602500
1601990,1603089
1601990,1602655
1601990,1602500
1601990,1612125
1601990,1611621
1601990,1612915
1601990,1601103
1601990,1605698
1601990,1605864
1601990,1606271
1601990,1605400
1601990,1601103
1601991,1605864
1601991,1603608
1601991,1604615
1601992,1603882
1601992,1605864
1601993,1605864
1601993,1601046
1601995,1606414
1601995,1607951
1601995,1606868
1601995,1633186
1601995,1673444
1601995,1640868
1601995,1641731
1601995,1667264
1601995,1606148
1601995,1602832
1601995,1601193
1601995,1604566
1601995,1604866
1601995,1602898
1601995,1617518
1601995,1667100
1601995,1607951
1601995,1606868
1601996,1602720
1602012,1603218
1602012,1602972
1602012,1602697
1602012,1602447
1602012,1602581
1602012,1603218
1602012,1602972
1602012,1602697
1602012,1602447
1602012,1601792
1602012,1612915
1602012,1602266
1602012,1602943
1602012,1605864
1602012,1602581
1602014,1606004
1602014,1608008
1602014,1605864
1602014,1601955
1602014,1603864
1602014,1608008
1602015,1605864
1602015,1602588
1602015,1601831
1602025,1604624
1602025,1602266
1602025,1601103
1602025,1601103
1602027,1606004
1602027,1605864
1602027,1601955
1602027,1603864
1602027,1606004
1602028,1605864
1602028,1604245
1602029,1603093
1602032,1657656
1602032,1602892
1602032,1602559
1602032,1605864
1602032,1605718
1602032,1607047
1602032,1603130
1602032,1602601
1602032,1602521
1602032,1604225
1602032,1607187
1602032,1604678
1602032,1608355
1602032,1601917
1602032,1607955
1602032,1605413
1602032,1603604
1602032,1607045
1602032,1604748
1602032,1604758
1602032,1601419
1602032,1602214
1602032,1605304
1602032,1601193
1602032,1604181
1602032,1603808
1602032,1604237
1602032,1601852
1602032,1606724
1602032,1605350
1602032,1607578
1602032,1604685
1602032,1649728
1602032,1643358
1602032,1665856
1602032,1602559
1602033,1602696
1602033,1633186
1602033,1606148
1602033,1601774
1602033,1604566
1602033,1602696
1602036,1602587
1602036,1608013
1602036,1604252
1602036,1605413
1602036,1601675
1602036,1604748
1602036,1602328
1602036,1604175
1602036,1605245
1602036,1602982
1602036,1607837
1602036,1606395
1602036,1607472
1602036,1605640
1602036,1608053
1602036,1602898
1602036,1674688
1602036,1666145
1602036,1649728
1602036,1602587
1602036,1607496
1602036,1606865
1602036,1603865
1602036,1602586
1602036,1601531
1602036,1607464
1602036,1601676
1602036,1604758
1602070,1601350
1602070,1605864
1602070,1601350
1602072,1607287
1602072,1604234
1602072,1605864
1602072,1604234
1602073,1604011
1602073,1604011
1602073,1608355
1602075,1604255
1602075,1604028
1602075,1605864
1602075,1604028
1602110,1605003
1602110,1672261
1602110,1629758
1602110,1606148
1602110,1623970
1602110,1672261
1602110,1605003
1602114,1603493
1602114,1604748
1602114,1603493
1602127,1612125
1602127,1612915
1602127,1603873
1602127,1607501
1602127,1601212
1602127,1602266
1602127,1601103
1602127,1601103
1602128,1605113
1602128,1605113
1602130,1601099
1602130,1601830
1602130,1602729
1602130,1605864
1602131,1605864
1602131,1602248
1602131,1603176
1602131,1601790
1602131,1601291
1602131,1601790
1602134,1612915
1602134,1601829
1602134,1601832
1602134,1607474
1602134,1602266
1602134,1601103
1602134,1601103
1602135,1612915
1602135,1603873
1602135,1607499
1602135,1601212
1602135,1602266
1602135,1601103
1602135,1601103
1602136,1602810
1602136,1602342
1602136,1602810
1602136,1602342
1602136,1612125
1602136,1612915
1602136,1602266
1602136,1601103
1602136,1605864
1602136,1601103
1602149,1606297
1602149,1612440
1602149,1611995
1602149,1603412
1602149,1602266
1602149,1601103
1602149,1662297
1602149,1632418
1602149,1615106
1602149,1601103
1602151,1601145
1602151,1602413
1602151,1601793
1602151,1602600
1602151,1605864
1602152,1678683
1602152,1600952
1602152,1603605
1602152,1665856
1602171,1602839
1602171,1602340
1602171,1605864
1602189,1602894
1602189,1602946
1602189,1605864
1602204,1606148
1602204,1632418
1602204,1665856
1602204,1604659
1602204,1605306
1602204,1657656
1602204,1617231
1602204,1633265
1602204,1643971
1602204,1649083
1602204,1647290
1602204,1627011
1602204,1660868
1602204,1633186
1602204,1643971
1602205,1605864
1602205,1608190
1602210,1606889
1602210,1603585
1602210,1601737
1602210,1612915
1602210,1602266
1602210,1601103
1602210,1612125
1602210,1601103
1602212,1601618
1602212,1602338
1602212,1606280
1602212,1605864
1602212,1605698
1602212,1602703
1602213,1603412
1602213,1605864
1602214,1649368
1602214,1661906
1602214,1603019
1602214,1604225
1602214,1607187
1602215,1602343
1602215,1605864
1602215,1602343
1602243,1605864
1602243,1608175
1602243,1601187
1602245,1602688
1602245,1601103
1602245,1632418
1602245,1660625
1602245,1641731
1602245,1605301
1602245,1602214
1602245,1601103
1602245,1602266
1602245,1605303
1602245,1606415
1602245,1606412
1602245,1612790
1602245,1612915
1602245,1611995
1602245,1612440
1602245,1602688
1602247,1617461
1602247,1603500
1602247,1604233
1602247,1603187
1602247,1604233
1602247,1603883
1602247,1603500
1602247,1603187
1602247,1612915
1602247,1634413
1602247,1601103
1602247,1605698
1602247,1605864
1602247,1606280
1602247,1601103
1602260,1604928
1602260,1604999
1602260,1604929
1602260,1601824
1602260,1601827
1602260,1602266
1602260,1601103
1602260,1601103
1602261,1605864
1602261,1638466
1602261,1626219
1602263,1605864
1602263,1608119
1602265,1601443
1602265,1601443
1602267,1606005
1602267,1612915
1602267,1602266
1602267,1601103
1602267,1604746
1602267,1601103
1602268,1602329
1602268,1607065
1602268,1602266
1602268,1601103
1602268,1601103
1602269,1602205
1602269,1605864
1602269,1602205
1602270,1605864
1602270,1601603
1602271,1605864
1602272,1612915
1602272,1601398
1602272,1603498
1602272,1605787
1602272,1602266
1602272,1601103
1602272,1601103
1602274,1634413
1602274,1603532
1602274,1674688
1602274,1601531
1602275,1606716
1602275,1604674
1602275,1612915
1602275,1633380
1602275,1604674
1602276,1604613
1602276,1605864
1602277,1601340
1602277,1612440
1602277,1601340
1602277,1602079
1602277,1601250
1602278,1607289
1602278,1607874
1602278,1612915
1602278,1612383
1602278,1665856
1602278,1602266
1602278,1604247
1602278,1607462
1602278,1602898
1602278,1604746
1602278,1644341
1602278,1678683
1602278,1665173
1602278,1604247
1602279,1603408
1602279,1603168
1602279,1603408
1602279,1603168
1602279,1612440
1602279,1611995
1602279,1612915
1602279,1602266
1602279,1601103
1602279,1605864
1602279,1632418
1602279,1601103
1602280,1605864
1602294,1606280
1602294,1605864
1602297,1605864
1602297,1605925
1602297,1601179
1602299,1607048
1602299,1607353
1602299,1607355
1602299,1602266
1602299,1601103
1602299,1601103
1602327,1604010
1602327,1605864
1602328,1606280
1602328,1601676
1602329,1605864
1602329,1607065
1602330,1635124
1602330,1605864
1602330,1605399
1602330,1601703
1602331,1602941
1602331,1603171
1602331,1608517
1602331,1602893
1602332,1612915
1602332,1602596
1602332,1603611
1602332,1602266
1602332,1601103
1602332,1601103
1602333,1667120
1602333,1608012
1602333,1604758
1602333,1616880
1602333,1649728
1602333,1604748
1602333,1608353
1602333,1605421
1602333,1605413
1602333,1601292
1602333,1601346
1602333,1602950
1602333,1601388
1602333,1602335
1602333,1602892
1602333,1604678
1602334,1607036
1602334,1604873
1602334,1602729
1602334,1604873
1602335,1608355
1602335,1602944
1602335,1603535
1602335,1605421
1602335,1649728
1602335,1602898
1602335,1604758
1602335,1603535
1602335,1605421
1602336,1605902
1602336,1605370
