source,target
2318925,2315659
2318925,2318891
2318925,2315655
2318930,2318917
2318930,2318891
2318930,2320524
2318930,2574990
2318931,2575430
2318931,2319801
2318931,2575271
2318931,2318907
2318931,2586857
2318931,2319694
2318931,2318902
2318932,2575271
2318932,2315659
2318932,2318891
2318932,2315655
2318933,2575271
2318933,2315659
2318933,2318891
2318933,2315655
2318934,2320528
2318935,2320528
2318935,2315641
2318935,2315659
2318935,2318930
2318935,2318889
2318935,2318891
2318935,2318917
2318935,2315649
2318935,2318922
2318935,2574990
2318935,2575430
2318935,2575110
2318935,2577480
2318936,2575271
2318936,2315659
2318936,2318891
2318936,2315655
2318938,2318934
2318938,2318891
2318939,2318954
2318939,2318944
2318939,2578247
2318944,2318862
2318944,2318846
2318944,2318878
2318944,2318954
2318944,2320528
2318944,2320680
2318944,2320659
2318944,2320670
2318944,2320671
2318944,2575318
2318944,2575348
2318944,2575002
2318944,2320653
2318944,2577416
2318946,2319801
2318946,2586857
2318946,2319694
2318946,2578161
2318946,2578163
2318946,2575366
2318946,2323151
2318947,2319801
2318947,2586857
2318947,2319694
2318947,2578161
2318947,2578163
2318947,2575366
2318947,2323151
2318949,2315679
2318949,2320528
2318949,2575154
2318954,2318944
2318954,2320454
2318954,2577366
2318954,2320673
2318954,2575046
2318954,2577436
2318955,2319801
2318955,2586857
2318955,2319694
2318955,2578161
2318955,2578163
2318955,2575366
2318955,2323151
2318960,2318888
2318961,2318945
2318961,2318888
2318961,2315670
2318962,2318888
2318962,2315670
2318964,2318969
2318964,2323150
2318964,2575305
2318964,2575187
2318965,2318969
2318965,2323150
2318965,2575129
2318965,2323151
2318967,2318969
2318967,2575233
2318968,2318975
2318968,2318969
2318968,2575233
2318969,2322915
2318969,2584409
2318969,2320528
2318969,2320472
2318969,2575364
2318969,2575271
2318969,2575233
2318969,2322966
2318970,2575430
2318970,2575348
2318971,2318966
2318971,2319694
2318977,2318969
2318978,2318970
2318978,2318969
2318978,2319694
2318979,2575364
2318979,2575233
2318979,2577523
2318980,2319694
2318981,2318985
2318981,2579973
2318981,2318982
2318982,2579970
2318983,2318981
2318983,2318984
2318983,2318982
2318983,2579977
2318984,2318985
2318984,2318982
2318989,2578728
2318989,2320442
2318989,2575306
2318989,2575203
2318989,2575233
2318989,2575434
2318989,2575295
2318989,2577342
2318991,2578779
2318991,2320442
2318991,2575306
2318991,2575203
2318991,2575233
2318991,2575434
2318991,2575295
2318991,2577342
2318992,2575031
2318992,2577299
2318993,2318995
2318993,2319801
2318993,2575271
2318993,2323150
2318993,2586857
2318993,2319694
2318993,2323151
2318994,2319801
2318994,2575271
2318994,2319013
2318994,2323150
2318994,2320472
2318994,2586857
2318994,2319694
2318994,2575430
2318994,2323151
2318995,2319009
2318995,2574990
2318995,2575430
2318995,2575048
2318996,2319009
2318996,2320524
2318996,2320472
2318996,2577343
2318996,2320683
2318996,2575430
2318996,2575320
2318996,2575222
2318996,2575154
2318997,2320472
2318998,2318995
2318998,2318996
2318998,2319801
2318998,2323150
2318998,2586857
2318998,2319694
2318998,2319490
2318998,2575366
2318998,2323151
2319000,2319801
2319000,2586857
2319000,2585257
2319001,2318995
2319001,2319801
2319001,2586857
2319001,2319694
2319001,2323151
2319006,2319013
2319006,2319801
2319006,2575271
2319006,2320472
2319006,2323150
2319006,2586857
2319006,2319694
2319006,2575430
2319006,2323151
2319007,2319801
2319007,2575271
2319007,2323150
2319007,2318997
2319007,2586857
2319007,2319490
2319007,2575430
2319007,2585257
2319008,2318996
2319008,2319801
2319008,2586857
2319008,2319694
