iter	RMSE
0	0.5996672573
1	0.5886778617
2	0.5770368818
3	0.5674362389
4	0.5583282446
5	0.547879045
6	0.5390900178
7	0.5304721813
8	0.5231007195
9	0.5168270912
10	0.506428521
11	0.4980139047
12	0.4891711889
13	0.4813271325
14	0.4732399295
15	0.4669842024
16	0.4609506659
17	0.4532372186
18	0.446574937
19	0.4393348332
20	0.4330914914
21	0.4263153146
22	0.4210295984
23	0.4129920211
24	0.4078755557
25	0.4002918912
26	0.3940539445
27	0.3882085554
28	0.3828859712
29	0.3768189617
30	0.3703516065
31	0.365204316
32	0.3600115816
33	0.3548411166
34	0.3501693261
35	0.3438746681
36	0.3386410672
37	0.3327739623
38	0.3273422157
39	0.3228978261
40	0.3173185642
41	0.3122626199
42	0.3070499507
43	0.3018895939
44	0.2975079954
45	0.2923931965
46	0.2886827003
47	0.2844993595
48	0.2804858346
49	0.2759841903
50	0.2708663942
51	0.267675508
52	0.2638417566
53	0.2608968052
54	0.2574007635
55	0.2539412125
56	0.2503483239
57	0.2464237605
58	0.2435218699
59	0.2398867374
60	0.2362921741
61	0.2323890394
62	0.2281655375
63	0.2254260751
64	0.2224327701
65	0.2186285663
66	0.2151028529
67	0.2123753061
68	0.2092187141
69	0.2062896259
70	0.2033852109
71	0.2004018493
72	0.1977506307
73	0.1947681592
74	0.1920494342
75	0.1884756173
76	0.1857405334
77	0.1826141646
78	0.1800052043
79	0.1777054569
80	0.1750337687
81	0.1725749446
82	0.1697472862
83	0.1673809132
84	0.1656765712
85	0.1636254669
86	0.1613698548
87	0.1592145496
88	0.1569619608
89	0.1548496293
90	0.1526822707
91	0.1505537357
92	0.1479113711
93	0.1455380883
94	0.1431419553
95	0.1411384464
96	0.1393438079
97	0.137423639
98	0.1354963667
99	0.1336935144
100	0.1320109524
101	0.1303484766
102	0.1281490508
103	0.1260477618
104	0.1241692877
105	0.1224517252
106	0.1209190242
107	0.1188691217
108	0.1171956565
109	0.1152439679
110	0.1139362925
111	0.1125395388
112	0.111338542
113	0.1097791711
114	0.1081127666
115	0.1067193177
116	0.1053916992
117	0.1037699261
118	0.1024454256
119	0.1012541512
120	0.09990581805
121	0.09839945209
122	0.09712424444
123	0.09597008199
124	0.09437570015
125	0.09323613804
126	0.09201536592
127	0.09042481035
128	0.0890700069
129	0.08789254787
130	0.08671480322
131	0.08551346862
132	0.08452301011
133	0.08361012716
134	0.08224075477
135	0.08083979781
136	0.07953054274
137	0.07822786642
138	0.07720750861
139	0.07603761107
140	0.07482771552
141	0.07363789601
142	0.07266838312
143	0.07181227423
144	0.07072884988
145	0.06959392805
146	0.06850639745
147	0.06764284307
148	0.06656959142
149	0.0655146276
150	0.06451032134
151	0.06358429389
152	0.06259443413
153	0.0618964476
154	0.06120699758
155	0.06034860915
156	0.05940295196
157	0.05848736231
158	0.05759844071
159	0.05682314205
160	0.05626386263
161	0.05558393937
162	0.05473208768
163	0.05391910315
164	0.05312534278
165	0.05236218409
166	0.05158712639
167	0.05080753783
168	0.05006478573
169	0.04939997219
170	0.04888094546
171	0.04839531124
172	0.04772362991
173	0.04705555142
174	0.04644466533
175	0.0459445752
176	0.0453999422
177	0.04492107295
178	0.04429129692
179	0.04370399897
180	0.04325283252
181	0.04281233783
182	0.04221814309
183	0.04164959594
184	0.0411073928
185	0.04067878748
186	0.04013831715
187	0.03960416241
188	0.03921797925
189	0.03873372194
190	0.03838085699
191	0.03802544276
192	0.03765426788
193	0.03730045249
194	0.03694316943
195	0.03656272706
196	0.0362340064
197	0.03581010704
198	0.03537016907
199	0.03494607279
200	0.03453203654
201	0.03421553798
202	0.03380856631
203	0.03347319377
204	0.0331133061
205	0.03280895803
206	0.0325552809
207	0.03226480742
208	0.03200522158
209	0.03173847745
210	0.03145224665
211	0.03116396794
212	0.03090088975
213	0.03063850799
214	0.03036807055
215	0.03009475364
216	0.02984421166
217	0.02957732672
218	0.02933326591
219	0.02901024229
220	0.02878051682
221	0.0285440224
222	0.02834591899
223	0.0280798963
224	0.02786138233
225	0.02760395352
226	0.02741600736
227	0.02717069875
228	0.02694176298
229	0.02669695728
230	0.02645229839
231	0.0262321595
232	0.0260028828
233	0.02582549146
234	0.02559855957
235	0.02542660347
236	0.0251982431
237	0.02502156738
238	0.02482045545
239	0.02459309722
240	0.02441959093
241	0.02424619308
242	0.02408358734
243	0.02390346646
244	0.02370082746
245	0.02349008109
246	0.02330337709
247	0.02309865655
248	0.02292445729
249	0.02273917785
250	0.02261105577
251	0.02245090994
252	0.02227198048
253	0.02207563509
254	0.0218999584
255	0.02173720365
256	0.02160446056
257	0.02144271378
258	0.02126886498
259	0.02111065843
260	0.02096491097
261	0.02079650615
262	0.02067894994
263	0.02052985992
264	0.020360173
265	0.02020505852
266	0.02005045269
267	0.01987931177
268	0.01972797258
269	0.01956563215
270	0.01944724139
271	0.0192977739
272	0.01916851692
273	0.01902011555
274	0.01887776626
275	0.01873769186
276	0.01859672883
277	0.01846308607
278	0.01832498208
279	0.01819474472
280	0.01805724023
281	0.01792340952
282	0.017791457
283	0.01766374926
284	0.01753889919
285	0.01741428765
286	0.01728751791
287	0.01718240402
288	0.01706017665
289	0.0169415506
290	0.01683220771
291	0.01671015725
292	0.01659792635
293	0.01647757233
294	0.01636674135
295	0.01624936488
296	0.01613322018
