# Tessar Design by Brendel, USP 2854889
# EFL ≈ 100 mm, f/2.8
# radius    thickness   eta/material   aperture_radius
42.970      9.800       1.6937           19.2
-115.330    2.100       1.8           19.2
306.840     4.160       1.0            19.2
0.0         4.000       1.0            15.0
-59.060     1.870       2.6            17.3
40.930      10.640      1.0            17.3
183.920     7.050       1.99           16.5
-48.910     79.831      1.0            16.5
